Jour,Entrées,Mall ID,Année,Mois,GLA centre (hyper + galerie+ mail) GI,GLA boutiques (hors mail - GI),Nombre places de parking (Assetbook),Nombre de boutiques (hors hyper),ALIMENTATION,EQ DE LA PERSONNE,EQ DE LA MAISON,LOISIRS,RESTAURATION,SERVICES,DIVERS,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday
2023-06-23,115514.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-24,153515.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-06-25,20160.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-06-26,109601.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-27,104307.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-06-28,136647.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-29,124203.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-06-30,131846.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,190330.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-07-02,34307.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-03,121254.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,124848.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-07-05,138562.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-07-06,123889.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-07-07,132370.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-08,181418.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-07-09,23582.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-10,132739.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,127331.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-07-12,129279.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-07-13,130090.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-07-14,113007.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-15,173393.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-07-16,20152.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-17,130897.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,119939.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-07-19,119907.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-07-20,114158.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-07-21,127486.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-22,158311.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-07-23,29110.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-24,136991.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,131622.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-07-26,115406.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-07-27,111530.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-07-28,125948.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-29,157836.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-07-30,30766.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-31,134738.0,53,2023,7,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,138098.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-02,120338.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-03,129013.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-08-04,132214.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-05,159010.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-08-06,30560.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-08-07,128787.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-08-08,116812.0,53,2023,8,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
